Date,Ticker,Group,Name,VRP,IV_Type
2020-03-05,SPY,Equity,S&P 500,2.20275060237615,IV Index
2020-03-06,SPY,Equity,S&P 500,2.414895315373128,IV Index
2020-03-09,SPY,Equity,S&P 500,2.8548832296625646,IV Index
2020-03-10,SPY,Equity,S&P 500,2.83418785235053,IV Index
2020-03-11,SPY,Equity,S&P 500,2.982554919318501,IV Index
2020-03-12,SPY,Equity,S&P 500,3.882985748993927,IV Index
2020-03-13,SPY,Equity,S&P 500,3.3602724276893583,IV Index
2020-03-16,SPY,Equity,S&P 500,3.748996699580571,IV Index
2020-03-17,SPY,Equity,S&P 500,3.4974479871195454,IV Index
2020-03-18,SPY,Equity,S&P 500,3.148818731034898,IV Index
2020-03-19,SPY,Equity,S&P 500,2.4852063955759776,IV Index
2020-03-20,SPY,Equity,S&P 500,1.3513704981706958,IV Index
2020-03-23,SPY,Equity,S&P 500,-0.09035063612102823,IV Index
2020-03-24,SPY,Equity,S&P 500,-1.9308358213542023,IV Index
2020-03-25,SPY,Equity,S&P 500,-3.686341833738492,IV Index
2020-03-26,SPY,Equity,S&P 500,-5.746323053248094,IV Index
2020-03-27,SPY,Equity,S&P 500,-7.588215192438724,IV Index
2020-03-30,SPY,Equity,S&P 500,-10.10032928156679,IV Index
2020-03-31,SPY,Equity,S&P 500,-12.840225905252076,IV Index
2020-04-01,SPY,Equity,S&P 500,-15.102844911926494,IV Index
2020-04-02,SPY,Equity,S&P 500,-17.71560669914077,IV Index
2020-04-03,SPY,Equity,S&P 500,-20.211828816749247,IV Index
2020-04-06,SPY,Equity,S&P 500,-23.1255376923772,IV Index
2020-04-07,SPY,Equity,S&P 500,-26.04727216053323,IV Index
2020-04-08,SPY,Equity,S&P 500,-29.02986651409484,IV Index
2020-04-09,SPY,Equity,S&P 500,-31.493623687385934,IV Index
2020-04-13,SPY,Equity,S&P 500,-34.02558633005159,IV Index
2020-04-14,SPY,Equity,S&P 500,-36.9419681497229,IV Index
2020-04-15,SPY,Equity,S&P 500,-38.00299512997224,IV Index
2020-04-16,SPY,Equity,S&P 500,-39.28365156989898,IV Index
2020-04-17,SPY,Equity,S&P 500,-39.89436722221425,IV Index
2020-04-20,SPY,Equity,S&P 500,-40.066268680102596,IV Index
2020-04-21,SPY,Equity,S&P 500,-39.92318464130317,IV Index
2020-04-22,SPY,Equity,S&P 500,-39.36659814053724,IV Index
2020-04-23,SPY,Equity,S&P 500,-38.50561285326792,IV Index
2020-04-24,SPY,Equity,S&P 500,-37.07287728372368,IV Index
2020-04-27,SPY,Equity,S&P 500,-35.90030056203157,IV Index
2020-04-28,SPY,Equity,S&P 500,-34.266724208952766,IV Index
2020-04-29,SPY,Equity,S&P 500,-32.90346807971379,IV Index
2020-04-30,SPY,Equity,S&P 500,-30.99003958634351,IV Index
2020-05-01,SPY,Equity,S&P 500,-28.814952567648206,IV Index
2020-05-04,SPY,Equity,S&P 500,-26.730558794850396,IV Index
2020-05-05,SPY,Equity,S&P 500,-24.413129261898874,IV Index
2020-05-06,SPY,Equity,S&P 500,-21.966059005444666,IV Index
2020-05-07,SPY,Equity,S&P 500,-19.16053275074909,IV Index
2020-05-08,SPY,Equity,S&P 500,-16.537854224537753,IV Index
2020-05-11,SPY,Equity,S&P 500,-14.019135664149433,IV Index
2020-05-12,SPY,Equity,S&P 500,-11.414667761164186,IV Index
2020-05-13,SPY,Equity,S&P 500,-8.859673116059009,IV Index
2020-05-14,SPY,Equity,S&P 500,-6.710723789330088,IV Index
2020-05-15,SPY,Equity,S&P 500,-4.99631690377221,IV Index
2020-05-18,SPY,Equity,S&P 500,-4.0707794809497315,IV Index
2020-05-19,SPY,Equity,S&P 500,-3.1175952567017906,IV Index
2020-05-20,SPY,Equity,S&P 500,-2.566075227034238,IV Index
2020-05-21,SPY,Equity,S&P 500,-1.942112930266276,IV Index
2020-05-22,SPY,Equity,S&P 500,-1.268865553473316,IV Index
