Horizon,Model,DM Stat,p(raw),p(BH),Sig.(BH)
1d,HAR-3,2.525,0.012,0.015,✓
1d,NaiveRV,32.321,<0.001,<0.001,✓
1d,GARCH,21.037,<0.001,<0.001,✓
1d,IV-only,16.596,<0.001,<0.001,✓
5d,HAR-3,8.493,<0.001,<0.001,✓
5d,NaiveRV,21.738,<0.001,<0.001,✓
5d,GARCH,11.29,<0.001,<0.001,✓
5d,IV-only,38.664,<0.001,<0.001,✓
22d,HAR-3,5.395,<0.001,<0.001,✓
22d,NaiveRV,8.698,<0.001,<0.001,✓
22d,GARCH,12.136,<0.001,<0.001,✓
22d,IV-only,39.456,<0.001,<0.001,✓
60d,HAR-3,0.159,0.874,0.92,-
60d,NaiveRV,0.101,0.92,0.92,-
60d,GARCH,10.983,<0.001,<0.001,✓
60d,IV-only,28.16,<0.001,<0.001,✓
90d,HAR-3,-1.885,0.059,0.076,-
90d,NaiveRV,-0.121,0.904,0.92,-
90d,GARCH,7.643,<0.001,<0.001,✓
90d,IV-only,22.816,<0.001,<0.001,✓
120d,HAR-3,-0.717,0.474,0.541,-
120d,NaiveRV,1.409,0.159,0.196,-
120d,GARCH,8.191,<0.001,<0.001,✓
120d,IV-only,20.683,<0.001,<0.001,✓
180d,HAR-3,1.092,0.275,0.326,-
180d,NaiveRV,3.499,<0.001,<0.001,✓
180d,GARCH,7.284,<0.001,<0.001,✓
180d,IV-only,17.977,<0.001,<0.001,✓
252d,HAR-3,0.654,0.513,0.566,-
252d,NaiveRV,3.57,<0.001,<0.001,✓
252d,GARCH,6.957,<0.001,<0.001,✓
252d,IV-only,12.915,<0.001,<0.001,✓
