Model,Horizon,Pooled_R2,Median_R2,Mean_R2,RMSE
NaiveRV,1d,-0.5661,-0.7563,-0.746,3.3384
RepeatRV,1d,-0.1479,-0.2673,-0.2646,2.858
IV-only,1d,0.0103,-0.0449,-0.1081,2.6538
GARCH,1d,-0.5161,-0.7095,-0.6543,3.2847
HAR-3,1d,0.1095,0.021,0.0215,2.5174
RF,1d,0.1177,0.0213,0.0292,2.5057
BiLSTM-A,1d,0.0704,-0.0116,-0.0202,2.5839
LightGBM,1d,0.1077,0.0134,0.0181,2.5199
MLP,1d,0.0709,-0.0375,-0.0264,2.5713
Ridge,1d,0.117,0.023,0.0291,2.5067
LASSO,1d,0.1172,0.0237,0.0296,2.5064
ENet,1d,0.1168,0.0222,0.0288,2.507
XGBoost,1d,0.1139,0.0138,0.0258,2.5111
WEns,1d,0.1176,0.0263,0.0299,2.5058
NaiveRV,5d,0.3177,-0.4699,-0.4098,1.0103
RepeatRV,5d,0.5116,-0.0418,0.0003,0.8548
IV-only,5d,0.1849,-0.2599,-0.8341,1.1043
GARCH,5d,-0.154,-1.3725,-1.2961,1.3139
HAR-3,5d,0.5739,0.1061,0.129,0.7984
RF,5d,0.5999,0.0918,0.171,0.7737
BiLSTM-A,5d,0.3598,-0.267,-0.3061,0.977
LightGBM,5d,0.6042,0.1409,0.1827,0.7695
MLP,5d,0.4893,-0.0524,-0.0662,0.8741
Ridge,5d,0.6219,0.1709,0.2212,0.7521
LASSO,5d,0.6165,0.17,0.2096,0.7574
ENet,5d,0.6211,0.1701,0.2189,0.7529
XGBoost,5d,0.6077,0.1392,0.1906,0.7661
WEns,5d,0.6249,0.1816,0.2271,0.7491
NaiveRV,22d,0.7074,-0.1287,-0.052,0.5606
RepeatRV,22d,0.7074,-0.1287,-0.052,0.5606
IV-only,22d,0.2182,-0.7014,-2.3809,0.9163
GARCH,22d,-0.1306,-2.9555,-2.8205,1.1019
HAR-3,22d,0.7605,0.1422,0.1432,0.5072
RF,22d,0.775,0.1693,0.1705,0.4916
BiLSTM-A,22d,0.5098,-0.8054,-0.7855,0.7188
LightGBM,22d,0.7535,0.1218,0.0864,0.5146
MLP,22d,0.5493,-0.6863,-0.6002,0.6957
Ridge,22d,0.7968,0.226,0.2664,0.4671
LASSO,22d,0.7907,0.1937,0.239,0.4741
ENet,22d,0.7951,0.2282,0.2598,0.4691
XGBoost,22d,0.77,0.1241,0.1564,0.497
WEns,22d,0.7974,0.1967,0.2696,0.4664
NaiveRV,60d,0.7881,-0.0605,-0.0637,0.4555
RepeatRV,60d,0.7141,-0.4352,-0.436,0.5291
IV-only,60d,0.2199,-1.1674,-4.1569,0.874
GARCH,60d,-0.272,-5.51,-5.1045,1.116
HAR-3,60d,0.7854,0.0374,-0.0634,0.4584
RF,60d,0.7752,0.0696,-0.1096,0.4692
BiLSTM-A,60d,0.5755,-0.7827,-0.9792,0.6411
LightGBM,60d,0.6873,-0.0908,-0.6154,0.5533
MLP,60d,0.5031,-1.3421,-1.3593,0.6975
Ridge,60d,0.8021,0.0426,0.018,0.4402
LASSO,60d,0.7735,-0.0549,-0.0903,0.4709
ENet,60d,0.7761,-0.0141,-0.0827,0.4683
XGBoost,60d,0.714,-0.1304,-0.4074,0.5291
WEns,60d,0.7853,0.063,-0.0346,0.4586
NaiveRV,90d,0.7647,-0.3005,-0.3365,0.4723
RepeatRV,90d,0.7098,-0.7438,-0.7469,0.5245
IV-only,90d,0.2139,-1.4608,-5.4002,0.8633
GARCH,90d,-0.3369,-6.4737,-6.6752,1.1259
HAR-3,90d,0.7858,-0.239,-0.2645,0.4506
RF,90d,0.7712,-0.1001,-0.2881,0.4657
BiLSTM-A,90d,0.58,-1.1368,-1.3801,0.6283
LightGBM,90d,0.6909,-0.4885,-0.7394,0.5414
MLP,90d,0.5392,-1.3452,-1.5724,0.661
Ridge,90d,0.7919,-0.1545,-0.2171,0.4442
LASSO,90d,0.7562,-0.2945,-0.3827,0.4808
ENet,90d,0.7532,-0.2744,-0.4199,0.4837
XGBoost,90d,0.7186,-0.1608,-0.6628,0.5165
WEns,90d,0.7753,0.0007,-0.2722,0.4616
NaiveRV,120d,0.7021,-0.638,-0.8173,0.5257
RepeatRV,120d,0.6672,-1.1708,-1.2438,0.5557
IV-only,120d,0.2091,-1.7677,-6.7788,0.8566
GARCH,120d,-0.3812,-7.0942,-8.2054,1.132
HAR-3,120d,0.7731,-0.4434,-0.5324,0.4588
RF,120d,0.7622,-0.2377,-0.5027,0.4697
BiLSTM-A,120d,0.5777,-1.4759,-1.7322,0.6227
LightGBM,120d,0.6842,-0.7059,-0.9279,0.5413
MLP,120d,0.517,-1.949,-2.1325,0.6694
Ridge,120d,0.7822,-0.5197,-0.4427,0.4496
LASSO,120d,0.7533,-0.3632,-0.5878,0.4785
ENet,120d,0.756,-0.3696,-0.5529,0.4758
XGBoost,120d,0.6909,-0.7053,-0.8817,0.5355
WEns,120d,0.7683,-0.2566,-0.3993,0.4636
NaiveRV,180d,0.5879,-1.21,-2.0364,0.6096
RepeatRV,180d,0.5819,-1.8368,-2.4311,0.6139
IV-only,180d,0.1986,-1.8211,-9.7613,0.85
GARCH,180d,-0.4173,-8.2815,-11.309,1.1304
HAR-3,180d,0.7423,-1.2469,-1.2836,0.482
RF,180d,0.7401,-0.2028,-1.1305,0.484
BiLSTM-A,180d,0.6369,-2.4762,-2.123,0.5692
LightGBM,180d,0.6995,-0.5614,-1.2827,0.5205
MLP,180d,0.5109,-2.2715,-2.8781,0.664
Ridge,180d,0.7528,-1.3907,-1.0915,0.4721
LASSO,180d,0.7282,-1.5159,-1.2415,0.4951
ENet,180d,0.7323,-1.5486,-1.1742,0.4913
XGBoost,180d,0.726,-0.7264,-1.213,0.497
WEns,180d,0.7647,-0.2092,-0.8442,0.4605
NaiveRV,252d,0.5042,-1.8833,-4.0732,0.6592
RepeatRV,252d,0.4565,-3.3186,-5.1842,0.6901
IV-only,252d,0.1689,-2.5721,-17.54,0.8534
GARCH,252d,-0.3724,-11.8869,-18.0697,1.0967
HAR-3,252d,0.6941,-2.2938,-3.2706,0.5178
RF,252d,0.706,-0.9998,-2.6066,0.5076
BiLSTM-A,252d,0.5827,-3.7853,-4.6452,0.6015
LightGBM,252d,0.6728,-1.246,-2.5861,0.5354
MLP,252d,0.4673,-3.6477,-4.8963,0.6832
Ridge,252d,0.6978,-2.9329,-2.7984,0.5146
LASSO,252d,0.6877,-2.997,-2.9198,0.5231
ENet,252d,0.6808,-3.9477,-2.9105,0.5289
XGBoost,252d,0.6826,-1.0651,-2.4699,0.5274
WEns,252d,0.7342,-0.8333,-1.9089,0.4826
