Horizon,Reference,Challenger,DM_stat,p_value,WEns_better_5pct,WEns_R2,Chal_R2
1d,WEns,CatBoost,-1.6467,0.0997,False,0.1176,0.1147
1d,WEns,LightGBM,-4.1628,0.0,True,0.1176,0.1077
1d,WEns,Ridge,-3.1577,0.0016,True,0.1176,0.117
1d,WEns,XGBoost,-2.0058,0.0449,True,0.1176,0.1139
1d,WEns,HAR-3,-2.675,0.0075,True,0.1176,0.1095
1d,CatBoost,WEns,1.6467,0.0997,False,0.1176,0.1147
5d,WEns,CatBoost,-4.6204,0.0,True,0.6249,0.6114
5d,WEns,LightGBM,-7.0823,0.0,True,0.6249,0.6042
5d,WEns,Ridge,-2.626,0.0087,True,0.6249,0.6219
5d,WEns,XGBoost,-6.4336,0.0,True,0.6249,0.6077
5d,WEns,HAR-3,-8.727,0.0,True,0.6249,0.5739
5d,CatBoost,WEns,4.6204,0.0,True,0.6249,0.6114
22d,WEns,CatBoost,-8.5079,0.0,True,0.7974,0.7539
22d,WEns,LightGBM,-9.5326,0.0,True,0.7974,0.7535
22d,WEns,Ridge,-0.431,0.6665,False,0.7974,0.7968
22d,WEns,XGBoost,-7.7391,0.0,True,0.7974,0.77
22d,WEns,HAR-3,-5.2963,0.0,True,0.7974,0.7605
22d,CatBoost,WEns,8.5079,0.0,True,0.7974,0.7539
60d,WEns,CatBoost,-7.7745,0.0,True,0.7853,0.705
60d,WEns,LightGBM,-8.9743,0.0,True,0.7853,0.6873
60d,WEns,Ridge,2.4465,0.0144,False,0.7853,0.8021
60d,WEns,XGBoost,-8.2938,0.0,True,0.7853,0.714
60d,WEns,HAR-3,0.0122,0.9903,False,0.7853,0.7854
60d,CatBoost,WEns,7.7745,0.0,True,0.7853,0.705
90d,WEns,CatBoost,-6.7977,0.0,True,0.7753,0.6984
90d,WEns,LightGBM,-7.3859,0.0,True,0.7753,0.6909
90d,WEns,Ridge,1.9817,0.0475,False,0.7753,0.7919
90d,WEns,XGBoost,-8.1596,0.0,True,0.7753,0.7186
90d,WEns,HAR-3,0.8965,0.37,False,0.7753,0.7858
90d,CatBoost,WEns,6.7977,0.0,True,0.7753,0.6984
120d,WEns,CatBoost,-6.9169,0.0,True,0.7683,0.6738
120d,WEns,LightGBM,-6.7585,0.0,True,0.7683,0.6842
120d,WEns,Ridge,1.5909,0.1117,False,0.7683,0.7822
120d,WEns,XGBoost,-7.688,0.0,True,0.7683,0.6909
120d,WEns,HAR-3,0.3068,0.759,False,0.7683,0.7731
120d,CatBoost,WEns,6.9169,0.0,True,0.7683,0.6738
180d,WEns,CatBoost,-4.7949,0.0,True,0.7647,0.6689
180d,WEns,LightGBM,-3.9034,0.0001,True,0.7647,0.6995
180d,WEns,Ridge,-1.0859,0.2776,False,0.7647,0.7528
180d,WEns,XGBoost,-3.2802,0.001,True,0.7647,0.726
180d,WEns,HAR-3,-1.1539,0.2486,False,0.7647,0.7423
180d,CatBoost,WEns,4.7949,0.0,True,0.7647,0.6689
252d,WEns,CatBoost,-3.9867,0.0001,True,0.7342,0.6418
252d,WEns,LightGBM,-2.5736,0.0101,True,0.7342,0.6728
252d,WEns,Ridge,-1.0202,0.3077,False,0.7342,0.6978
252d,WEns,XGBoost,-2.2061,0.0274,True,0.7342,0.6826
252d,WEns,HAR-3,-1.0107,0.3122,False,0.7342,0.6941
252d,CatBoost,WEns,3.9867,0.0001,True,0.7342,0.6418
