Horizon,Model_A,Model_B,DM_stat,p_value,B_better_5pct,R2_A,R2_B
1d,Ridge+XGBoost,Ridge+CatBoost,-0.3019,0.7627,False,0.1176,0.1176
1d,Ridge+XGBoost,Ridge+LightGBM,-1.3213,0.1864,False,0.1176,0.1174
1d,Ridge+XGBoost,XGBoost+CatBoost,-1.3961,0.1627,False,0.1176,0.1152
1d,Ridge+XGBoost,XGBoost+LightGBM,-2.0893,0.0367,False,0.1176,0.1137
1d,Ridge+XGBoost,CatBoost+LightGBM,-1.6675,0.0954,False,0.1176,0.1147
1d,Ridge+CatBoost,Ridge+LightGBM,-0.8679,0.3855,False,0.1176,0.1174
1d,Ridge+CatBoost,XGBoost+CatBoost,-1.3694,0.1709,False,0.1176,0.1152
1d,Ridge+CatBoost,XGBoost+LightGBM,-2.0158,0.0439,False,0.1176,0.1137
1d,Ridge+CatBoost,CatBoost+LightGBM,-1.6656,0.0958,False,0.1176,0.1147
1d,Ridge+LightGBM,XGBoost+CatBoost,-1.2938,0.1958,False,0.1174,0.1152
1d,Ridge+LightGBM,XGBoost+LightGBM,-1.9981,0.0457,False,0.1174,0.1137
1d,Ridge+LightGBM,CatBoost+LightGBM,-1.5827,0.1135,False,0.1174,0.1147
1d,XGBoost+CatBoost,XGBoost+LightGBM,-2.1383,0.0325,False,0.1152,0.1137
1d,XGBoost+CatBoost,CatBoost+LightGBM,-1.3436,0.1791,False,0.1152,0.1147
1d,XGBoost+LightGBM,CatBoost+LightGBM,0.9019,0.3672,False,0.1137,0.1147
5d,Ridge+XGBoost,Ridge+CatBoost,2.994,0.0028,True,0.6249,0.6263
5d,Ridge+XGBoost,Ridge+LightGBM,-1.0139,0.3107,False,0.6249,0.6244
5d,Ridge+XGBoost,XGBoost+CatBoost,-4.7395,0.0,False,0.6249,0.612
5d,Ridge+XGBoost,XGBoost+LightGBM,-6.3803,0.0,False,0.6249,0.6079
5d,Ridge+XGBoost,CatBoost+LightGBM,-4.6019,0.0,False,0.6249,0.6117
5d,Ridge+CatBoost,Ridge+LightGBM,-3.2863,0.001,False,0.6263,0.6244
5d,Ridge+CatBoost,XGBoost+CatBoost,-5.4081,0.0,False,0.6263,0.612
5d,Ridge+CatBoost,XGBoost+LightGBM,-6.6995,0.0,False,0.6263,0.6079
5d,Ridge+CatBoost,CatBoost+LightGBM,-5.3869,0.0,False,0.6263,0.6117
5d,Ridge+LightGBM,XGBoost+CatBoost,-4.0341,0.0001,False,0.6244,0.612
5d,Ridge+LightGBM,XGBoost+LightGBM,-5.4117,0.0,False,0.6244,0.6079
5d,Ridge+LightGBM,CatBoost+LightGBM,-4.0024,0.0001,False,0.6244,0.6117
5d,XGBoost+CatBoost,XGBoost+LightGBM,-4.5062,0.0,False,0.612,0.6079
5d,XGBoost+CatBoost,CatBoost+LightGBM,-0.6071,0.5438,False,0.612,0.6117
5d,XGBoost+LightGBM,CatBoost+LightGBM,2.7104,0.0067,True,0.6079,0.6117
22d,Ridge+XGBoost,Ridge+CatBoost,0.1128,0.9102,False,0.7974,0.7975
22d,Ridge+XGBoost,Ridge+LightGBM,-0.0614,0.9511,False,0.7974,0.7974
22d,Ridge+XGBoost,XGBoost+CatBoost,-7.6728,0.0,False,0.7974,0.7696
22d,Ridge+XGBoost,XGBoost+LightGBM,-7.8943,0.0,False,0.7974,0.769
22d,Ridge+XGBoost,CatBoost+LightGBM,-8.5362,0.0,False,0.7974,0.7563
22d,Ridge+CatBoost,Ridge+LightGBM,-0.1819,0.8556,False,0.7975,0.7974
22d,Ridge+CatBoost,XGBoost+CatBoost,-7.0456,0.0,False,0.7975,0.7696
22d,Ridge+CatBoost,XGBoost+LightGBM,-7.1992,0.0,False,0.7975,0.769
22d,Ridge+CatBoost,CatBoost+LightGBM,-8.4185,0.0,False,0.7975,0.7563
22d,Ridge+LightGBM,XGBoost+CatBoost,-6.211,0.0,False,0.7974,0.7696
22d,Ridge+LightGBM,XGBoost+LightGBM,-6.3831,0.0,False,0.7974,0.769
22d,Ridge+LightGBM,CatBoost+LightGBM,-7.4464,0.0,False,0.7974,0.7563
22d,XGBoost+CatBoost,XGBoost+LightGBM,-2.7874,0.0053,False,0.7696,0.769
22d,XGBoost+CatBoost,CatBoost+LightGBM,-6.08,0.0,False,0.7696,0.7563
22d,XGBoost+LightGBM,CatBoost+LightGBM,-5.4303,0.0,False,0.769,0.7563
60d,Ridge+XGBoost,Ridge+CatBoost,-0.7508,0.4528,False,0.7853,0.7839
60d,Ridge+XGBoost,Ridge+LightGBM,-3.2119,0.0013,False,0.7853,0.7792
60d,Ridge+XGBoost,XGBoost+CatBoost,-7.6273,0.0,False,0.7853,0.7152
60d,Ridge+XGBoost,XGBoost+LightGBM,-8.3998,0.0,False,0.7853,0.7057
60d,Ridge+XGBoost,CatBoost+LightGBM,-8.0815,0.0,False,0.7853,0.7028
60d,Ridge+CatBoost,Ridge+LightGBM,-2.0095,0.0445,False,0.7839,0.7792
60d,Ridge+CatBoost,XGBoost+CatBoost,-7.9901,0.0,False,0.7839,0.7152
60d,Ridge+CatBoost,XGBoost+LightGBM,-8.4723,0.0,False,0.7839,0.7057
60d,Ridge+CatBoost,CatBoost+LightGBM,-8.4637,0.0,False,0.7839,0.7028
60d,Ridge+LightGBM,XGBoost+CatBoost,-7.3089,0.0,False,0.7792,0.7152
60d,Ridge+LightGBM,XGBoost+LightGBM,-8.4597,0.0,False,0.7792,0.7057
60d,Ridge+LightGBM,CatBoost+LightGBM,-8.1671,0.0,False,0.7792,0.7028
60d,XGBoost+CatBoost,XGBoost+LightGBM,-3.4162,0.0006,False,0.7152,0.7057
60d,XGBoost+CatBoost,CatBoost+LightGBM,-4.776,0.0,False,0.7152,0.7028
60d,XGBoost+LightGBM,CatBoost+LightGBM,-1.258,0.2084,False,0.7057,0.7028
90d,Ridge+XGBoost,Ridge+CatBoost,-2.0646,0.039,False,0.7753,0.7668
90d,Ridge+XGBoost,Ridge+LightGBM,-3.3584,0.0008,False,0.7753,0.7616
90d,Ridge+XGBoost,XGBoost+CatBoost,-6.7875,0.0,False,0.7753,0.7137
90d,Ridge+XGBoost,XGBoost+LightGBM,-7.5949,0.0,False,0.7753,0.7064
90d,Ridge+XGBoost,CatBoost+LightGBM,-6.653,0.0,False,0.7753,0.7019
90d,Ridge+CatBoost,Ridge+LightGBM,-1.8706,0.0614,False,0.7668,0.7616
90d,Ridge+CatBoost,XGBoost+CatBoost,-8.006,0.0,False,0.7668,0.7137
90d,Ridge+CatBoost,XGBoost+LightGBM,-8.4053,0.0,False,0.7668,0.7064
90d,Ridge+CatBoost,CatBoost+LightGBM,-8.1729,0.0,False,0.7668,0.7019
90d,Ridge+LightGBM,XGBoost+CatBoost,-6.3808,0.0,False,0.7616,0.7137
90d,Ridge+LightGBM,XGBoost+LightGBM,-8.0256,0.0,False,0.7616,0.7064
90d,Ridge+LightGBM,CatBoost+LightGBM,-6.9825,0.0,False,0.7616,0.7019
90d,XGBoost+CatBoost,XGBoost+LightGBM,-2.3006,0.0214,False,0.7137,0.7064
90d,XGBoost+CatBoost,CatBoost+LightGBM,-4.0762,0.0,False,0.7137,0.7019
90d,XGBoost+LightGBM,CatBoost+LightGBM,-1.1321,0.2576,False,0.7064,0.7019
120d,Ridge+XGBoost,Ridge+CatBoost,-3.0933,0.002,False,0.7683,0.7517
120d,Ridge+XGBoost,Ridge+LightGBM,-0.5634,0.5732,False,0.7683,0.7665
120d,Ridge+XGBoost,XGBoost+CatBoost,-6.7012,0.0,False,0.7683,0.6896
120d,Ridge+XGBoost,XGBoost+LightGBM,-7.042,0.0,False,0.7683,0.6909
120d,Ridge+XGBoost,CatBoost+LightGBM,-6.4547,0.0,False,0.7683,0.6837
120d,Ridge+CatBoost,Ridge+LightGBM,3.8246,0.0001,True,0.7517,0.7665
120d,Ridge+CatBoost,XGBoost+CatBoost,-7.7713,0.0,False,0.7517,0.6896
120d,Ridge+CatBoost,XGBoost+LightGBM,-7.5623,0.0,False,0.7517,0.6909
120d,Ridge+CatBoost,CatBoost+LightGBM,-7.8667,0.0,False,0.7517,0.6837
120d,Ridge+LightGBM,XGBoost+CatBoost,-7.014,0.0,False,0.7665,0.6896
120d,Ridge+LightGBM,XGBoost+LightGBM,-7.5756,0.0,False,0.7665,0.6909
120d,Ridge+LightGBM,CatBoost+LightGBM,-7.0879,0.0,False,0.7665,0.6837
120d,XGBoost+CatBoost,XGBoost+LightGBM,0.3942,0.6934,False,0.6896,0.6909
120d,XGBoost+CatBoost,CatBoost+LightGBM,-2.0571,0.0397,False,0.6896,0.6837
120d,XGBoost+LightGBM,CatBoost+LightGBM,-1.5993,0.1098,False,0.6909,0.6837
180d,Ridge+XGBoost,Ridge+CatBoost,-2.8596,0.0043,False,0.7647,0.7386
180d,Ridge+XGBoost,Ridge+LightGBM,-1.4226,0.1549,False,0.7647,0.7577
180d,Ridge+XGBoost,XGBoost+CatBoost,-4.0916,0.0,False,0.7647,0.7019
180d,Ridge+XGBoost,XGBoost+LightGBM,-3.5337,0.0004,False,0.7647,0.715
180d,Ridge+XGBoost,CatBoost+LightGBM,-4.6271,0.0,False,0.7647,0.6744
180d,Ridge+CatBoost,Ridge+LightGBM,3.5067,0.0005,True,0.7386,0.7577
180d,Ridge+CatBoost,XGBoost+CatBoost,-3.8263,0.0001,False,0.7386,0.7019
180d,Ridge+CatBoost,XGBoost+LightGBM,-2.2383,0.0252,False,0.7386,0.715
180d,Ridge+CatBoost,CatBoost+LightGBM,-5.4802,0.0,False,0.7386,0.6744
180d,Ridge+LightGBM,XGBoost+CatBoost,-4.2881,0.0,False,0.7577,0.7019
180d,Ridge+LightGBM,XGBoost+LightGBM,-3.5131,0.0004,False,0.7577,0.715
180d,Ridge+LightGBM,CatBoost+LightGBM,-5.1201,0.0,False,0.7577,0.6744
180d,XGBoost+CatBoost,XGBoost+LightGBM,3.0089,0.0026,True,0.7019,0.715
180d,XGBoost+CatBoost,CatBoost+LightGBM,-4.6674,0.0,False,0.7019,0.6744
180d,XGBoost+LightGBM,CatBoost+LightGBM,-4.2537,0.0,False,0.715,0.6744
252d,Ridge+XGBoost,Ridge+CatBoost,-4.1586,0.0,False,0.7342,0.7172
252d,Ridge+XGBoost,Ridge+LightGBM,-1.2392,0.2153,False,0.7342,0.73
252d,Ridge+XGBoost,XGBoost+CatBoost,-2.9394,0.0033,False,0.7342,0.6661
252d,Ridge+XGBoost,XGBoost+LightGBM,-2.275,0.0229,False,0.7342,0.681
252d,Ridge+XGBoost,CatBoost+LightGBM,-3.7213,0.0002,False,0.7342,0.648
252d,Ridge+CatBoost,Ridge+LightGBM,3.4106,0.0007,True,0.7172,0.73
252d,Ridge+CatBoost,XGBoost+CatBoost,-2.2153,0.0268,False,0.7172,0.6661
252d,Ridge+CatBoost,XGBoost+LightGBM,-1.5311,0.1258,False,0.7172,0.681
252d,Ridge+CatBoost,CatBoost+LightGBM,-3.0477,0.0023,False,0.7172,0.648
252d,Ridge+LightGBM,XGBoost+CatBoost,-2.7292,0.0064,False,0.73,0.6661
252d,Ridge+LightGBM,XGBoost+LightGBM,-2.0946,0.0362,False,0.73,0.681
252d,Ridge+LightGBM,CatBoost+LightGBM,-3.5376,0.0004,False,0.73,0.648
252d,XGBoost+CatBoost,XGBoost+LightGBM,3.8162,0.0001,True,0.6661,0.681
252d,XGBoost+CatBoost,CatBoost+LightGBM,-7.3181,0.0,False,0.6661,0.648
252d,XGBoost+LightGBM,CatBoost+LightGBM,-6.286,0.0,False,0.681,0.648
