Horizon,Ensemble,Pooled_R2,RMSE,best_pw,inner_R2
1d,Ridge+XGBoost,0.1176,2.5058,0.9,0.2387
1d,Ridge+CatBoost,0.1176,2.5059,0.9,0.2388
1d,Ridge+LightGBM,0.1174,2.5061,0.9,0.2384
1d,XGBoost+CatBoost,0.1152,2.5092,0.4,0.2225
1d,XGBoost+LightGBM,0.1137,2.5114,0.9,0.2171
1d,CatBoost+LightGBM,0.1147,2.51,0.9,0.2226
5d,Ridge+XGBoost,0.6249,0.7491,0.7,0.7052
5d,Ridge+CatBoost,0.6263,0.7477,0.7,0.7059
5d,Ridge+LightGBM,0.6244,0.7496,0.8,0.7046
5d,XGBoost+CatBoost,0.612,0.7619,0.4,0.6885
5d,XGBoost+LightGBM,0.6079,0.7659,0.9,0.6854
5d,CatBoost+LightGBM,0.6117,0.7622,0.9,0.6879
22d,Ridge+XGBoost,0.7974,0.4664,0.7,0.7077
22d,Ridge+CatBoost,0.7975,0.4663,0.8,0.7069
22d,Ridge+LightGBM,0.7974,0.4665,0.9,0.7063
22d,XGBoost+CatBoost,0.7696,0.4974,0.9,0.6878
22d,XGBoost+LightGBM,0.769,0.4981,0.9,0.6871
22d,CatBoost+LightGBM,0.7563,0.5116,0.7,0.6804
60d,Ridge+XGBoost,0.7853,0.4586,0.5,0.626
60d,Ridge+CatBoost,0.7839,0.46,0.5,0.6276
60d,Ridge+LightGBM,0.7792,0.465,0.5,0.6264
60d,XGBoost+CatBoost,0.7152,0.5281,0.5,0.6106
60d,XGBoost+LightGBM,0.7057,0.5368,0.5,0.6095
60d,CatBoost+LightGBM,0.7028,0.5395,0.5,0.6114
90d,Ridge+XGBoost,0.7753,0.4616,0.4,0.5874
90d,Ridge+CatBoost,0.7668,0.4703,0.4,0.5957
90d,Ridge+LightGBM,0.7616,0.4754,0.4,0.5911
90d,XGBoost+CatBoost,0.7137,0.521,0.4,0.5848
90d,XGBoost+LightGBM,0.7064,0.5276,0.4,0.5804
90d,CatBoost+LightGBM,0.7019,0.5316,0.7,0.5858
120d,Ridge+XGBoost,0.7683,0.4636,0.5,0.5718
120d,Ridge+CatBoost,0.7517,0.4799,0.4,0.5799
120d,Ridge+LightGBM,0.7665,0.4654,0.5,0.577
120d,XGBoost+CatBoost,0.6896,0.5367,0.4,0.5614
120d,XGBoost+LightGBM,0.6909,0.5355,0.4,0.5571
120d,CatBoost+LightGBM,0.6837,0.5417,0.7,0.565
180d,Ridge+XGBoost,0.7647,0.4605,0.5,0.5112
180d,Ridge+CatBoost,0.7386,0.4855,0.4,0.5244
180d,Ridge+LightGBM,0.7577,0.4673,0.5,0.5149
180d,XGBoost+CatBoost,0.7019,0.5184,0.4,0.5096
180d,XGBoost+LightGBM,0.715,0.5069,0.4,0.4997
180d,CatBoost+LightGBM,0.6744,0.5418,0.9,0.5115
252d,Ridge+XGBoost,0.7342,0.4826,0.4,0.4722
252d,Ridge+CatBoost,0.7172,0.4978,0.4,0.4828
252d,Ridge+LightGBM,0.73,0.4864,0.4,0.4761
252d,XGBoost+CatBoost,0.6661,0.541,0.4,0.4774
252d,XGBoost+LightGBM,0.681,0.5288,0.4,0.4707
252d,CatBoost+LightGBM,0.648,0.5554,0.9,0.4803
