Asset,Class,1d,5d,22d,60d,90d,120d,180d,252d
EEM,Equity,0.0104,0.1586,0.274,0.0644,0.0032,-0.2621,-0.5728,-0.4052
EFA,Equity,0.0352,0.3007,0.4146,-0.0003,-0.9089,-1.0344,-1.5414,-2.0721
IWM,Equity,-0.0052,0.1619,0.185,-0.0592,-0.119,-0.279,-0.6741,-0.9049
QQQ,Equity,0.0661,0.3663,0.4542,0.1951,-0.2817,-0.3792,-0.4167,-0.5647
SPY,Equity,0.0984,0.4787,0.5685,0.1438,-0.3368,-0.5387,-0.8609,-1.3794
AGG,Bond,0.0282,0.1608,0.1593,-0.564,-2.2619,-2.5462,-4.411,-6.9534
IEF,Bond,0.0356,0.1922,0.1523,-0.2769,-1.2458,-1.4975,-3.6332,-6.6395
TLT,Bond,0.0265,0.1817,0.1228,-0.9726,-2.312,-2.3707,-3.0276,-3.8452
GLD,Commodity,0.0144,0.0791,0.0932,-0.1229,-0.2811,-0.4819,-1.5995,-3.5854
SLV,Commodity,-0.0107,-0.0025,0.003,0.0559,-0.1338,-0.1037,-0.248,-0.9679
USO,Commodity,0.0104,0.3587,0.3808,0.1164,0.0845,0.009,-0.3548,-0.6748
