Model,Asset,Class,Horizon,R2
HAR-3,SPY,Equity,1d,0.0696
HAR-3,QQQ,Equity,1d,0.0473
HAR-3,IWM,Equity,1d,-0.0138
HAR-3,EFA,Equity,1d,0.0193
HAR-3,EEM,Equity,1d,0.02
HAR-3,TLT,Bond,1d,0.0029
HAR-3,IEF,Bond,1d,0.0181
HAR-3,AGG,Bond,1d,0.0137
HAR-3,GLD,Commodity,1d,0.0185
HAR-3,SLV,Commodity,1d,-0.0204
HAR-3,USO,Commodity,1d,0.0105
Ridge,SPY,Equity,1d,0.0964
Ridge,QQQ,Equity,1d,0.0582
Ridge,IWM,Equity,1d,-0.006
Ridge,EFA,Equity,1d,0.0343
Ridge,EEM,Equity,1d,0.0082
Ridge,TLT,Bond,1d,0.0277
Ridge,IEF,Bond,1d,0.0348
Ridge,AGG,Bond,1d,0.0282
Ridge,GLD,Commodity,1d,0.0131
Ridge,SLV,Commodity,1d,-0.0117
Ridge,USO,Commodity,1d,0.0096
WEns,SPY,Equity,1d,0.0984
WEns,QQQ,Equity,1d,0.0661
WEns,IWM,Equity,1d,-0.0052
WEns,EFA,Equity,1d,0.0352
WEns,EEM,Equity,1d,0.0104
WEns,TLT,Bond,1d,0.0265
WEns,IEF,Bond,1d,0.0356
WEns,AGG,Bond,1d,0.0282
WEns,GLD,Commodity,1d,0.0144
WEns,SLV,Commodity,1d,-0.0107
WEns,USO,Commodity,1d,0.0104
HAR-3,SPY,Equity,5d,0.3598
HAR-3,QQQ,Equity,5d,0.2849
HAR-3,IWM,Equity,5d,0.0066
HAR-3,EFA,Equity,5d,0.1604
HAR-3,EEM,Equity,5d,0.0953
HAR-3,TLT,Bond,5d,-0.0366
HAR-3,IEF,Bond,5d,0.0456
HAR-3,AGG,Bond,5d,0.0213
HAR-3,GLD,Commodity,5d,-0.0212
HAR-3,SLV,Commodity,5d,-0.0532
HAR-3,USO,Commodity,5d,0.2464
Ridge,SPY,Equity,5d,0.4436
Ridge,QQQ,Equity,5d,0.302
Ridge,IWM,Equity,5d,0.1154
Ridge,EFA,Equity,5d,0.2783
Ridge,EEM,Equity,5d,0.1378
Ridge,TLT,Bond,5d,0.1531
Ridge,IEF,Bond,5d,0.1908
Ridge,AGG,Bond,5d,0.146
Ridge,GLD,Commodity,5d,0.0809
Ridge,SLV,Commodity,5d,-0.0168
Ridge,USO,Commodity,5d,0.3489
WEns,SPY,Equity,5d,0.4787
WEns,QQQ,Equity,5d,0.3663
WEns,IWM,Equity,5d,0.1619
WEns,EFA,Equity,5d,0.3007
WEns,EEM,Equity,5d,0.1586
WEns,TLT,Bond,5d,0.1817
WEns,IEF,Bond,5d,0.1922
WEns,AGG,Bond,5d,0.1608
WEns,GLD,Commodity,5d,0.0791
WEns,SLV,Commodity,5d,-0.0025
WEns,USO,Commodity,5d,0.3587
HAR-3,SPY,Equity,22d,0.476
HAR-3,QQQ,Equity,22d,0.4297
HAR-3,IWM,Equity,22d,-0.0884
HAR-3,EFA,Equity,22d,0.347
HAR-3,EEM,Equity,22d,0.1635
HAR-3,TLT,Bond,22d,-0.2963
HAR-3,IEF,Bond,22d,-0.0108
HAR-3,AGG,Bond,22d,0.0497
HAR-3,GLD,Commodity,22d,-0.2639
HAR-3,SLV,Commodity,22d,-0.1969
HAR-3,USO,Commodity,22d,0.1428
Ridge,SPY,Equity,22d,0.5587
Ridge,QQQ,Equity,22d,0.4146
Ridge,IWM,Equity,22d,0.1623
Ridge,EFA,Equity,22d,0.4139
Ridge,EEM,Equity,22d,0.2575
Ridge,TLT,Bond,22d,0.0806
Ridge,IEF,Bond,22d,0.1584
Ridge,AGG,Bond,22d,0.1293
Ridge,GLD,Commodity,22d,0.0321
Ridge,SLV,Commodity,22d,-0.1035
Ridge,USO,Commodity,22d,0.3508
WEns,SPY,Equity,22d,0.5685
WEns,QQQ,Equity,22d,0.4542
WEns,IWM,Equity,22d,0.185
WEns,EFA,Equity,22d,0.4146
WEns,EEM,Equity,22d,0.274
WEns,TLT,Bond,22d,0.1228
WEns,IEF,Bond,22d,0.1523
WEns,AGG,Bond,22d,0.1593
WEns,GLD,Commodity,22d,0.0932
WEns,SLV,Commodity,22d,0.003
WEns,USO,Commodity,22d,0.3808
HAR-3,SPY,Equity,60d,0.4163
HAR-3,QQQ,Equity,60d,0.3178
HAR-3,IWM,Equity,60d,-0.4343
HAR-3,EFA,Equity,60d,0.3064
HAR-3,EEM,Equity,60d,0.1588
HAR-3,TLT,Bond,60d,-0.742
HAR-3,IEF,Bond,60d,-0.0937
HAR-3,AGG,Bond,60d,-0.1084
HAR-3,GLD,Commodity,60d,-1.2745
HAR-3,SLV,Commodity,60d,-0.3273
HAR-3,USO,Commodity,60d,-0.3202
Ridge,SPY,Equity,60d,0.4507
Ridge,QQQ,Equity,60d,0.248
Ridge,IWM,Equity,60d,-0.0709
Ridge,EFA,Equity,60d,0.1395
Ridge,EEM,Equity,60d,0.1006
Ridge,TLT,Bond,60d,-0.3646
Ridge,IEF,Bond,60d,-0.1572
Ridge,AGG,Bond,60d,-0.4835
Ridge,GLD,Commodity,60d,-0.4099
Ridge,SLV,Commodity,60d,-0.1988
Ridge,USO,Commodity,60d,0.0049
WEns,SPY,Equity,60d,0.1438
WEns,QQQ,Equity,60d,0.1951
WEns,IWM,Equity,60d,-0.0592
WEns,EFA,Equity,60d,-0.0003
WEns,EEM,Equity,60d,0.0644
WEns,TLT,Bond,60d,-0.9726
WEns,IEF,Bond,60d,-0.2769
WEns,AGG,Bond,60d,-0.564
WEns,GLD,Commodity,60d,-0.1229
WEns,SLV,Commodity,60d,0.0559
WEns,USO,Commodity,60d,0.1164
HAR-3,SPY,Equity,90d,0.36
HAR-3,QQQ,Equity,90d,0.1604
HAR-3,IWM,Equity,90d,-0.8033
HAR-3,EFA,Equity,90d,0.2677
HAR-3,EEM,Equity,90d,0.148
HAR-3,TLT,Bond,90d,-1.1023
HAR-3,IEF,Bond,90d,-0.1603
HAR-3,AGG,Bond,90d,-0.4079
HAR-3,GLD,Commodity,90d,-2.3612
HAR-3,SLV,Commodity,90d,-0.496
HAR-3,USO,Commodity,90d,-0.3935
Ridge,SPY,Equity,90d,0.3499
Ridge,QQQ,Equity,90d,0.0941
Ridge,IWM,Equity,90d,-0.1808
Ridge,EFA,Equity,90d,-0.0632
Ridge,EEM,Equity,90d,-0.0166
Ridge,TLT,Bond,90d,-0.8076
Ridge,IEF,Bond,90d,-0.4247
Ridge,AGG,Bond,90d,-0.9361
Ridge,GLD,Commodity,90d,-0.9409
Ridge,SLV,Commodity,90d,-0.9237
Ridge,USO,Commodity,90d,-0.0829
WEns,SPY,Equity,90d,-0.3368
WEns,QQQ,Equity,90d,-0.2817
WEns,IWM,Equity,90d,-0.119
WEns,EFA,Equity,90d,-0.9089
WEns,EEM,Equity,90d,0.0032
WEns,TLT,Bond,90d,-2.312
WEns,IEF,Bond,90d,-1.2458
WEns,AGG,Bond,90d,-2.2619
WEns,GLD,Commodity,90d,-0.2811
WEns,SLV,Commodity,90d,-0.1338
WEns,USO,Commodity,90d,0.0845
HAR-3,SPY,Equity,120d,0.295
HAR-3,QQQ,Equity,120d,0.0499
HAR-3,IWM,Equity,120d,-1.0858
HAR-3,EFA,Equity,120d,0.1815
HAR-3,EEM,Equity,120d,0.1069
HAR-3,TLT,Bond,120d,-1.7053
HAR-3,IEF,Bond,120d,-0.4936
HAR-3,AGG,Bond,120d,-0.9179
HAR-3,GLD,Commodity,120d,-3.3712
HAR-3,SLV,Commodity,120d,-0.7036
HAR-3,USO,Commodity,120d,-0.6274
Ridge,SPY,Equity,120d,0.2605
Ridge,QQQ,Equity,120d,0.0616
Ridge,IWM,Equity,120d,-0.3757
Ridge,EFA,Equity,120d,-0.1509
Ridge,EEM,Equity,120d,-0.0607
Ridge,TLT,Bond,120d,-1.1186
Ridge,IEF,Bond,120d,-0.8471
Ridge,AGG,Bond,120d,-1.5527
Ridge,GLD,Commodity,120d,-1.3365
Ridge,SLV,Commodity,120d,-1.3191
Ridge,USO,Commodity,120d,-0.3352
WEns,SPY,Equity,120d,-0.5387
WEns,QQQ,Equity,120d,-0.3792
WEns,IWM,Equity,120d,-0.279
WEns,EFA,Equity,120d,-1.0344
WEns,EEM,Equity,120d,-0.2621
WEns,TLT,Bond,120d,-2.3707
WEns,IEF,Bond,120d,-1.4975
WEns,AGG,Bond,120d,-2.5462
WEns,GLD,Commodity,120d,-0.4819
WEns,SLV,Commodity,120d,-0.1037
WEns,USO,Commodity,120d,0.009
HAR-3,SPY,Equity,180d,0.1394
HAR-3,QQQ,Equity,180d,-0.1696
HAR-3,IWM,Equity,180d,-1.3787
HAR-3,EFA,Equity,180d,0.0525
HAR-3,EEM,Equity,180d,0.1189
HAR-3,TLT,Bond,180d,-3.3819
HAR-3,IEF,Bond,180d,-1.4856
HAR-3,AGG,Bond,180d,-2.5105
HAR-3,GLD,Commodity,180d,-6.0687
HAR-3,SLV,Commodity,180d,-1.4743
HAR-3,USO,Commodity,180d,-0.8116
Ridge,SPY,Equity,180d,0.1282
Ridge,QQQ,Equity,180d,-0.1862
Ridge,IWM,Equity,180d,-0.7469
Ridge,EFA,Equity,180d,-0.3158
Ridge,EEM,Equity,180d,-0.119
Ridge,TLT,Bond,180d,-2.8653
Ridge,IEF,Bond,180d,-1.9884
Ridge,AGG,Bond,180d,-3.0458
Ridge,GLD,Commodity,180d,-2.5265
Ridge,SLV,Commodity,180d,-2.556
Ridge,USO,Commodity,180d,-0.4844
WEns,SPY,Equity,180d,-0.8609
WEns,QQQ,Equity,180d,-0.4167
WEns,IWM,Equity,180d,-0.6741
WEns,EFA,Equity,180d,-1.5414
WEns,EEM,Equity,180d,-0.5728
WEns,TLT,Bond,180d,-3.0276
WEns,IEF,Bond,180d,-3.6332
WEns,AGG,Bond,180d,-4.411
WEns,GLD,Commodity,180d,-1.5995
WEns,SLV,Commodity,180d,-0.248
WEns,USO,Commodity,180d,-0.3548
HAR-3,SPY,Equity,252d,-0.0107
HAR-3,QQQ,Equity,252d,-0.5604
HAR-3,IWM,Equity,252d,-2.3877
HAR-3,EFA,Equity,252d,-0.1118
HAR-3,EEM,Equity,252d,-0.0028
HAR-3,TLT,Bond,252d,-8.4515
HAR-3,IEF,Bond,252d,-3.5428
HAR-3,AGG,Bond,252d,-5.2301
HAR-3,GLD,Commodity,252d,-16.3002
HAR-3,SLV,Commodity,252d,-2.522
HAR-3,USO,Commodity,252d,-1.4886
Ridge,SPY,Equity,252d,-0.0372
Ridge,QQQ,Equity,252d,-0.4687
Ridge,IWM,Equity,252d,-1.2824
Ridge,EFA,Equity,252d,-0.6153
Ridge,EEM,Equity,252d,-0.36
Ridge,TLT,Bond,252d,-6.563
Ridge,IEF,Bond,252d,-3.8209
Ridge,AGG,Bond,252d,-5.1924
Ridge,GLD,Commodity,252d,-6.2979
Ridge,SLV,Commodity,252d,-5.0186
Ridge,USO,Commodity,252d,-1.1198
WEns,SPY,Equity,252d,-1.3794
WEns,QQQ,Equity,252d,-0.5647
WEns,IWM,Equity,252d,-0.9049
WEns,EFA,Equity,252d,-2.0721
WEns,EEM,Equity,252d,-0.4052
WEns,TLT,Bond,252d,-3.8452
WEns,IEF,Bond,252d,-6.6395
WEns,AGG,Bond,252d,-6.9534
WEns,GLD,Commodity,252d,-3.5854
WEns,SLV,Commodity,252d,-0.9679
WEns,USO,Commodity,252d,-0.6748
