Horizon,Model,Pooled_R2,Within_R2,Diff
1d,HAR-3,0.1061,0.0225,0.0836
1d,Ridge,0.1145,0.0324,0.0821
1d,WEns,0.1158,0.0339,0.0819
5d,HAR-3,0.5661,0.1463,0.4199
5d,Ridge,0.6114,0.2416,0.3699
5d,WEns,0.6239,0.2587,0.3653
22d,HAR-3,0.7449,0.2298,0.5151
22d,Ridge,0.7855,0.343,0.4425
22d,WEns,0.7936,0.3598,0.4338
60d,HAR-3,0.7642,0.1515,0.6127
60d,Ridge,0.7811,0.1475,0.6337
60d,WEns,0.7565,0.0391,0.7174
90d,HAR-3,0.762,0.0911,0.6709
90d,Ridge,0.7626,0.0457,0.7168
90d,WEns,0.6905,-0.3175,1.0081
120d,HAR-3,0.7484,-0.0212,0.7696
120d,Ridge,0.7506,-0.0885,0.8391
120d,WEns,0.6716,-0.5108,1.1824
180d,HAR-3,0.7221,-0.2649,0.9869
180d,Ridge,0.7211,-0.3919,1.113
180d,WEns,0.6921,-0.6592,1.3513
252d,HAR-3,0.68,-0.671,1.351
252d,Ridge,0.6957,-0.8207,1.5164
252d,WEns,0.594,-1.6148,2.2088
