Model,1d,5d,22d,60d,90d,120d,180d,252d
WEns,0.1176,0.6311,0.8044,0.7877,0.7558,0.7571,0.7592,0.7178
Ridge,0.1170,0.6272,0.8026,0.7988,0.7859,0.7749,0.7441,0.6924
ENet,0.1170,0.6266,0.8009,0.7737,0.7467,0.7472,0.7198,0.6751
LASSO,0.1173,0.6216,0.7973,0.7705,0.7491,0.7442,0.7219,0.6826
RF,0.1161,0.6065,0.7775,0.7738,0.7611,0.7533,0.7335,0.6928
HAR-3,0.1097,0.5819,0.7659,0.7860,0.7835,0.7700,0.7390,0.6906
XGBoost,0.1113,0.6161,0.7773,0.7254,0.6871,0.6754,0.7192,0.6509
LightGBM,0.1042,0.6100,0.7697,0.7402,0.6971,0.6717,0.6790,0.6415
MLP,0.0751,0.4787,0.5644,0.4981,0.5421,0.5272,0.5150,0.4974
BiLSTM-A,0.0721,0.3714,0.5361,0.6379,0.4442,0.5971,0.5615,0.5535
